trade_id,strategy,book,entry_time,exit_time,lots,lot_size,calculated_pnl,reported_final_pnl
2026-02-09T13:57:15.536456,TREND_FOLLOW_FUTURE,TREND,2026-02-09T13:57:15.538886,2026-02-09T14:35:54.179305,1,65,0.0,0.0
2026-02-09T15:08:40.654381,TREND_FOLLOW_FUTURE,TREND,2026-02-09T15:08:40.656912,2026-02-09T15:15:15.137377,1,65,0.0,-539.5
2026-02-18T10:52:39.359836,CALL_BACKSPREAD,CONVEX,2026-02-18T10:54:53.139174,2026-02-18T11:16:32.261855,1,65,11.38,-243.75
2026-02-18T11:07:04.997894,CALL_BACKSPREAD,CONVEX,2026-02-18T11:09:00.884349,2026-02-18T11:25:36.058150,1,65,11.38,164.13
2026-02-18T11:13:09.417840,CALL_BACKSPREAD,CONVEX,2026-02-18T11:15:06.943514,2026-02-18T11:35:02.956020,1,65,8.13,-240.5
2026-02-18T11:21:08.563151,CALL_BACKSPREAD,CONVEX,2026-02-18T11:23:30.740838,2026-02-18T11:41:35.737837,1,65,0.0,69.88
2026-02-18T11:32:11.737027,CALL_BACKSPREAD,CONVEX,2026-02-18T11:33:50.859698,2026-02-18T11:48:06.444778,1,65,-1.63,69.87
2026-02-18T11:38:26.424738,CALL_BACKSPREAD,CONVEX,2026-02-18T11:40:05.249682,2026-02-18T11:57:43.614362,1,65,-11.37,82.88
2026-02-18T11:45:12.785832,CALL_BACKSPREAD,CONVEX,2026-02-18T11:46:52.072092,2026-02-18T12:06:58.781384,1,65,14.62,-297.37
2026-02-18T11:54:23.333120,CALL_BACKSPREAD,CONVEX,2026-02-18T11:56:12.390298,2026-02-18T12:14:27.259630,1,65,9.75,-294.12
2026-02-18T12:02:38.819577,CALL_BACKSPREAD,CONVEX,2026-02-18T12:05:33.440883,2026-02-18T13:02:42.974965,1,65,3.25,-383.5
2026-02-18T12:11:07.306659,CALL_BACKSPREAD,CONVEX,2026-02-18T12:12:40.230938,2026-02-18T13:06:19.295983,1,65,3.25,-388.37
2026-02-18T13:07:35.845491,CALL_BACKSPREAD,CONVEX,2026-02-18T13:10:49.252346,2026-02-18T13:33:53.002456,20,65,162.5,-260.0
2026-02-18T13:16:26.758726,CALL_BACKSPREAD,CONVEX,2026-02-18T13:20:15.851053,2026-02-18T13:46:21.630694,20,65,-455.0,1625.0
2026-02-18T13:27:28.244573,CALL_BACKSPREAD,CONVEX,2026-02-18T13:31:23.883990,2026-02-18T13:55:04.734233,20,65,227.5,2925.0
2026-02-18T13:41:13.392513,CALL_BACKSPREAD,CONVEX,2026-02-18T13:44:22.584853,2026-02-18T14:05:22.252417,20,65,-487.5,780.0
2026-02-18T13:51:42.023603,CALL_BACKSPREAD,CONVEX,2026-02-18T13:53:37.689341,2026-02-18T14:16:07.835176,20,65,32.5,-3867.5
