week,expiry,pcr,signal,spot,atm,short,long,credit,exit,stop,pnl_pts,pnl_inr,note
2025-03-17,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-03-24,2025-03-27,1.29,SKIP,—,—,—,—,—,—,,—,—,
2025-03-31,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-04-07,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-04-14,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-04-21,2025-04-24,1.18,SKIP,—,—,—,—,—,—,,—,—,
2025-04-28,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-05-05,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-05-12,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-05-19,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-05-26,2025-05-29,0.84,SKIP,—,—,—,—,—,—,,—,—,
2025-06-02,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-06-09,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-06-16,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-06-23,2025-06-26,0.84,SKIP,—,—,—,—,—,—,,—,—,
2025-06-30,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-07-07,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-07-14,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-07-21,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-07-28,2025-07-31,0.60,BEAR_CALL,56085,56100,56200,56400,82.5,0.0,,+82.5,"+2,475",
2025-08-04,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-08-11,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
2025-08-18,1970-01-01,—,SKIP,—,—,—,—,—,—,,—,—,no_weekly_chain
